country,happiness_score,gdp_per_capita,life_expectancy,year
Switzerland,7.587,1.39651,0.94143,2015
Iceland,7.561,1.30232,0.94784,2015
Denmark,7.527,1.32548,0.87464,2015
Norway,7.522,1.459,0.88521,2015
Canada,7.427,1.32629,0.90563,2015
Finland,7.406,1.29025,0.88911,2015
Netherlands,7.378,1.32944,0.89284,2015
Sweden,7.364,1.33171,0.91087,2015
New Zealand,7.286,1.25018,0.90837,2015
Australia,7.284,1.33358,0.93156,2015
Israel,7.278,1.22857,0.91387,2015
Costa Rica,7.226,0.95578,0.86027,2015
Austria,7.2,1.33723,0.89042,2015
Mexico,7.187,1.02054,0.81444,2015
United States,7.119,1.39451,0.86179,2015
Brazil,6.983,0.98124,0.69702,2015
Luxembourg,6.946,1.56391,0.91894,2015
Ireland,6.94,1.33596,0.89533,2015
Belgium,6.937,1.30782,0.89667,2015
United Arab Emirates,6.901,1.42727,0.80925,2015
United Kingdom,6.867,1.26637,0.90943,2015
Oman,6.853,1.36011,0.76276,2015
Venezuela,6.81,1.04424,0.72052,2015
Singapore,6.798,1.52186,1.02525,2015
Panama,6.786,1.06353,0.79661,2015
Germany,6.75,1.32792,0.89186,2015
Chile,6.67,1.10715,0.85857,2015
Qatar,6.611,1.69042,0.79733,2015
France,6.575,1.27778,0.94579,2015
Argentina,6.574,1.05351,0.78723,2015
Czech Republic,6.505,1.17898,0.84483,2015
Uruguay,6.485,1.06166,0.8116,2015
Colombia,6.477,0.91861,0.69077,2015
Thailand,6.455,0.9669,0.7385,2015
Saudi Arabia,6.411,1.39541,0.72025,2015
Spain,6.329,1.23011,0.95562,2015
Malta,6.302,1.2074,0.88721,2015
Taiwan,6.298,1.29098,0.8753,2015
Kuwait,6.295,1.55422,0.72492,2015
Suriname,6.269,0.99534,0.6082,2015
Trinidad and Tobago,6.168,1.21183,0.61483,2015
El Salvador,6.13,0.76454,0.67737,2015
Guatemala,6.123,0.74553,0.64425,2015
Uzbekistan,6.003,0.63244,0.59772,2015
Slovakia,5.995,1.16891,0.78902,2015
Japan,5.987,1.27074,0.99111,2015
South Korea,5.984,1.24461,0.96538,2015
Ecuador,5.975,0.86402,0.79075,2015
Bahrain,5.96,1.32376,0.74716,2015
Italy,5.948,1.25114,0.95446,2015
Bolivia,5.89,0.68133,0.5392,2015
Moldova,5.889,0.59448,0.61826,2015
Paraguay,5.878,0.75985,0.66098,2015
Kazakhstan,5.855,1.12254,0.64368,2015
